Cuisine,Number
American,10
Asian,2
Asian Contemporary,1
Asian Influences,1
Austrian,1
Barbecue,1
Californian,13
Cantonese,3
Chinese,3
Classic French,1
Classic Cuisine,8
Contemporary,73
Creative,31
Danish,1
European,1
European Contemporary,1
Finnish,1
French,9
French Contemporary,1
Fusion,4
Gastropub,2
Hang Zhou,1
Indian,3
Innovative,4
International,1
Italian,13
Japanese,43
Japanese Contemporary,1
Korean,4
Market Cuisine,1
Meats And Grills,1
Mediterranean,4
Mexican,5
Modern Cuisine,49
Moroccan,1
Scandinavian,4
Seafood,7
Sichuan-Huai Yang,1
Spanish,1
Steakhouse,3
Sushi,5
Taiwanese,3
Thai,3
Vegetarian,2
Creative,4
Modern,4
