Name,price,Stars,PriceStar (string),Count
Kilian Stuba,5,1,51,38
Pfefferschiff,5,1,51,38
Esszimmer,5,1,51,38
Carpe Diem,5,1,51,38
Edvard,4,1,41,102
Das Loft,5,1,51,38
Pramerl & the Wolf,5,1,51,38
Walter Bauer,5,1,51,38
SHIKI,5,1,51,38
Tian,5,1,51,38
aend,5,1,51,38
le ciel by toni morwald,5,1,51,38
Chez TJ,4,1,41,102
protege,3,1,31,86
Madera,3,1,31,86
The Village Pub,3,1,31,86
Plumed Horse,4,1,41,102
Wakuriya,4,1,41,102
Sushi Yoshizumi,4,1,41,102
Rasa,2,1,21,33
Maum,4,1,41,102
Al's Place,2,1,21,33
Aster,3,1,31,86
Omakase,4,1,41,102
Commonwealth,2,1,21,33
Luce,3,1,31,86
Birdsong,4,1,41,102
In Situ,4,1,41,102
Mourad,3,1,31,86
Hashiri,4,1,41,102
Angler,4,1,41,102
Rich Table,3,1,31,86
Kin Khao,2,1,21,33
Michael Mina,4,1,41,102
Sons & Daughters,4,1,41,102
Mister Jiu's,3,1,31,86
Nico,3,1,31,86
ju ni,4,1,41,102
keiko a nob hill,4,1,41,102
The Progress,3,1,31,86
State Bird Provisions,2,1,21,33
Octavia,3,1,31,86
SPQR,3,1,31,86
Lord Stanley,3,1,31,86
Kinjo,4,1,41,102
Sorrel,3,1,31,86
Gary Danko,4,1,41,102
Bar Crenn,3,1,31,86
Spruce,3,1,31,86
Wako,4,1,41,102
Madcap,4,1,41,102
Aubergine,4,1,41,102
Kenzo,4,1,41,102
La Toque,4,1,41,102
Bouchon,3,1,31,86
Auberge du Soleil,4,1,41,102
Farmhouse Inn & Restaurant,4,1,41,102
The Kitchen,4,1,41,102
Madrona Manor,4,1,41,102
Shin Sushi,3,1,31,86
Rustic Canyon,3,1,31,86
Dialogue,4,1,41,102
Kato,3,1,31,86
CUT,4,1,41,102
Nozawa Bar,4,1,41,102
Shunji,4,1,41,102
Maude,4,1,41,102
Mori Sushi,4,1,41,102
Trois Mec,4,1,41,102
Osteria Mozza,3,1,31,86
Kali,3,1,31,86
Le Comptoir,4,1,41,102
Q Sushi,4,1,41,102
Shibumi,4,1,41,102
Hayato,4,1,41,102
Bistro Na's,2,1,21,33
Orsa & Winston,4,1,41,102
taco maria,3,1,31,86
Hana re,4,1,41,102
Addison,4,1,41,102
Parachute,2,1,21,33
Goosefoot,4,1,41,102
Elizabeth,4,1,41,102
EL Ideas,4,1,41,102
Band of Bohemia,3,1,31,86
Schwa,4,1,41,102
Entente,3,1,31,86
Elske,4,1,41,102
Dusek's (Board & Beer),2,1,21,33
Roister,3,1,31,86
Boka,3,1,31,86
Blackbird,3,1,31,86
Sepia,3,1,31,86
North Pond,3,1,31,86
Everest,4,1,41,102
Topolobampo,4,1,41,102
Spiaggia,4,1,41,102
Monte,5,1,51,38
Draga di Lovrana,5,1,51,38
Noel,5,1,51,38
Pelegrini,5,1,51,38
360 C2 BA,5,1,51,38
Field,5,1,51,38
la degustation boheme bourgeoise,5,1,51,38
gastrome,3,1,31,86
Domestic,3,1,31,86
Substans,3,1,31,86
frederikshoj,4,1,41,102
me E2 80 9Amu,3,1,31,86
Ti Trin Ned,3,1,31,86
slotskokkenet,4,1,41,102
sollerod kro,2,1,21,33
jordnaer,3,1,31,86
relae,2,1,21,33
Kiin Kiin,2,1,21,33
formel B,2,1,21,33
Kokkeriet,3,1,31,86
Clou,4,1,41,102
Marchal,2,1,21,33
kong hans kaelder,4,1,41,102
Stud!o at The Standard,3,1,31,86
108,3,1,31,86
Era Ora,2,1,21,33
Alouette,3,1,31,86
Frederiksminde,3,1,31,86
Kadeau Bornholm,4,1,41,102
Ask,3,1,31,86
gron,3,1,31,86
Demo,3,1,31,86
Olo,3,1,31,86
Palace,3,1,31,86
Ora,3,1,31,86
Botrini's,5,1,51,38
Varoulko Seaside,5,1,51,38
Hytra,5,1,51,38
Costes Downtown,4,1,41,102
Borkonyha Winekitchen,4,1,41,102
Stand,3,1,31,86
Babel,5,1,51,38
Costes,5,1,51,38
FAGN,4,1,41,102
Credo,4,1,41,102
RE-NAA,4,1,41,102
Sabi Omakase,4,1,41,102
Galt,3,1,31,86
Kontrast,3,1,31,86
Statholdergaarden,4,1,41,102
Del Posto,4,1,41,102
L'Appart,4,1,41,102
wallse,4,1,41,102
Jeju Noodle Bar,2,1,21,33
Sushi Nakazawa,4,1,41,102
Kosaka,4,1,41,102
batard,4,1,41,102
Hirohisa,3,1,31,86
Blue Hill,4,1,41,102
ZZ's Clam Bar,4,1,41,102
Babbo,4,1,41,102
Carbone,4,1,41,102
Le Coucou,3,1,31,86
Aldea,4,1,41,102
Cote,3,1,31,86
Gotham Bar and Grill,4,1,41,102
Nix,3,1,31,86
Junoon,4,1,41,102
NoMad,4,1,41,102
The Musket Room,3,1,31,86
Uncle Boons,2,1,21,33
Gramercy Tavern,4,1,41,102
The Clocktower,3,1,31,86
Ai Fiori,4,1,41,102
Casa Mono,3,1,31,86
Jewel Bako,3,1,31,86
the river cafe,4,1,41,102
